Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
37,no,travel_rarely,1192,research & development,5,college,medical,very high,male,61,3,2,manufacturing director,4,divorced,6347.0,23177,7,no,16,3,3,2,8,2,2,6,2,0,4
38,no,travel_rarely,343,research & development,15,college,life sciences,high,male,92,2,3,research director,4,divorced,11510.0,15682,0,yes,14,3,2,1,12,3,3,11,10,2,9
31,no,travel_rarely,1232,research & development,7,master,medical,high,female,39,3,3,manufacturing director,4,single,7143.0,25713,1,yes,14,3,3,0,11,2,2,11,9,4,10
29,no,travel_rarely,144,sales,10,below college,marketing,very high,female,39,2,2,sales executive,2,divorced,8268.0,11866,1,yes,14,3,1,2,7,2,3,7,7,1,7
35,no,travel_rarely,1296,research & development,5,master,technical degree,high,male,62,3,3,manufacturing director,2,single,8095.0,18264,0,no,13,3,4,0,17,5,3,16,6,0,13
23,no,travel_rarely,1309,research & development,26,below college,life sciences,high,male,83,3,1,research scientist,4,divorced,2904.0,16092,1,no,12,3,3,2,4,2,2,4,2,0,2
41,no,travel_rarely,483,research & development,6,bachelor,medical,very high,male,95,2,2,manufacturing director,2,single,6032.0,10110,6,yes,15,3,4,0,8,3,3,5,4,1,2
47,no,travel_frequently,1309,sales,4,below college,medical,medium,male,99,3,2,sales representative,3,single,2976.0,25751,3,no,19,3,1,0,5,3,3,0,0,0,0
42,no,travel_rarely,810,research & development,23,phd,life sciences,low,female,44,3,4,research director,4,single,15992.0,15901,2,no,14,3,2,0,16,2,3,1,0,0,0
29,no,non-travel,746,sales,2,bachelor,life sciences,very high,male,61,3,2,sales executive,3,married,4649.0,16928,1,no,14,3,1,1,4,3,2,4,3,0,2
42,no,travel_rarely,544,human resources,2,below college,technical degree,high,male,52,3,1,human resources,3,divorced,2696.0,24017,0,yes,11,3,3,1,4,5,3,3,2,1,0
32,no,travel_rarely,1062,research & development,2,bachelor,medical,high,female,75,3,1,laboratory technician,2,married,2370.0,3956,1,no,13,3,3,1,8,4,3,8,0,0,7
48,no,travel_rarely,530,sales,29,below college,medical,low,female,91,3,3,manager,3,married,12504.0,23978,3,no,21,4,2,1,15,3,1,0,0,0,0
37,no,travel_rarely,1319,research & development,6,bachelor,medical,high,male,51,4,2,research scientist,1,divorced,5974.0,17001,4,yes,13,3,1,2,13,2,3,7,7,6,7
30,no,non-travel,641,sales,25,college,technical degree,very high,female,85,3,2,sales executive,3,married,4736.0,6069,7,yes,12,3,2,1,4,2,4,2,2,2,2
26,no,travel_rarely,933,sales,1,bachelor,life sciences,high,male,57,3,2,sales executive,3,married,5296.0,20156,1,no,17,3,2,1,8,3,3,8,7,7,7
42,no,travel_rarely,1332,research & development,2,master,other,low,male,98,2,2,healthcare representative,4,single,6781.0,17078,3,no,23,4,2,0,14,5,3,1,0,0,0
21,yes,travel_frequently,756,sales,1,below college,technical degree,low,female,99,2,1,sales representative,2,single,2174.0,9150,1,yes,11,3,3,0,3,3,3,3,2,1,2
36,no,non-travel,845,sales,1,phd,medical,very high,female,45,3,2,sales executive,4,single,6653.0,15276,4,no,15,3,2,0,7,5,3,1,0,0,0
36,no,travel_frequently,541,sales,3,master,medical,low,male,48,2,3,sales executive,4,married,9699.0,7246,4,no,11,3,1,1,16,2,3,13,9,1,12
57,no,travel_rarely,593,research & development,1,master,medical,very high,male,88,3,2,healthcare representative,3,married,6755.0,2967,2,no,11,3,3,0,15,2,3,3,2,1,2
40,no,travel_rarely,1171,research & development,10,master,life sciences,very high,female,46,4,1,laboratory technician,3,married,2213.0,22495,3,yes,13,3,3,1,10,3,3,7,7,1,7
21,no,non-travel,895,sales,9,college,medical,low,male,39,3,1,sales representative,4,single,2610.0,2851,1,no,24,4,3,0,3,3,2,3,2,2,2
33,yes,travel_rarely,350,sales,5,bachelor,marketing,very high,female,34,3,1,sales representative,3,single,2851.0,9150,1,yes,13,3,2,0,1,2,3,1,0,0,0
37,no,travel_rarely,921,research & development,10,bachelor,medical,high,female,98,3,1,laboratory technician,1,married,3452.0,17663,6,no,20,4,2,1,17,3,3,5,4,0,3
46,no,non-travel,1144,research & development,7,master,medical,high,female,30,3,2,manufacturing director,3,married,5258.0,16044,2,no,14,3,3,0,7,2,4,1,0,0,0
41,yes,travel_frequently,143,sales,4,bachelor,marketing,low,male,56,3,2,sales executive,2,single,9355.0,9558,1,no,18,3,3,0,8,5,3,8,7,7,7
50,no,travel_rarely,1046,research & development,10,bachelor,technical degree,very high,male,100,2,3,healthcare representative,4,single,10496.0,2755,6,no,15,3,4,0,20,2,3,4,3,1,3
40,yes,travel_rarely,575,sales,22,college,marketing,high,male,68,2,2,sales executive,3,married,6380.0,6110,2,yes,12,3,1,2,8,5,3,6,4,1,0
31,no,travel_rarely,408,research & development,9,master,life sciences,high,male,42,2,1,research scientist,2,single,2657.0,7551,0,yes,16,3,4,0,3,5,3,2,2,2,2
21,yes,travel_rarely,156,sales,12,bachelor,life sciences,high,female,90,4,1,sales representative,2,single,2716.0,25422,1,no,15,3,4,0,1,2,3,1,0,0,0
29,no,travel_rarely,1283,research & development,23,bachelor,life sciences,very high,male,54,3,1,research scientist,4,single,2201.0,18168,7,no,16,3,4,0,6,4,3,3,2,1,2
35,no,travel_rarely,755,research & development,9,master,life sciences,high,male,97,2,2,healthcare representative,2,single,6540.0,19394,7,no,19,3,3,0,10,5,3,1,1,0,0
27,no,travel_rarely,1469,research & development,1,college,medical,very high,male,82,3,1,laboratory technician,2,divorced,3816.0,17881,1,no,11,3,2,1,5,2,3,5,2,0,4
28,no,travel_rarely,304,sales,9,master,life sciences,medium,male,92,3,2,sales executive,4,single,5253.0,20750,1,no,16,3,4,0,7,1,3,7,5,0,7
49,no,travel_rarely,1261,research & development,7,bachelor,other,medium,male,31,2,3,healthcare representative,3,single,10965.0,12066,8,no,24,4,3,0,26,2,3,5,2,0,0
51,no,travel_rarely,1178,sales,14,college,life sciences,high,female,87,3,2,sales executive,4,married,4936.0,14862,4,no,11,3,3,1,18,2,2,7,7,0,7
36,no,travel_rarely,329,research & development,2,bachelor,life sciences,very high,female,96,3,1,research scientist,3,married,2543.0,11868,4,no,13,3,2,1,6,3,3,2,2,2,2
34,yes,non-travel,1362,sales,19,bachelor,marketing,low,male,67,4,2,sales executive,4,single,5304.0,4652,8,yes,13,3,2,0,9,3,2,5,2,0,4
55,no,travel_rarely,1311,research & development,2,bachelor,life sciences,high,female,97,3,4,manager,4,single,13775.600000000008,23258,2,yes,13,3,3,0,23,2,3,5,4,1,2
24,no,travel_rarely,1371,sales,10,master,marketing,very high,female,77,3,2,sales executive,3,divorced,4260.0,5915,1,yes,12,3,4,1,5,2,4,5,2,0,3
30,no,travel_rarely,202,sales,2,below college,technical degree,high,male,72,3,1,sales representative,2,married,2476.0,17434,1,no,18,3,1,1,1,3,3,1,0,0,0
26,yes,travel_frequently,575,research & development,3,below college,technical degree,high,male,73,3,1,research scientist,1,single,3102.0,6582,0,no,22,4,3,0,7,2,3,6,4,0,4
22,no,travel_rarely,253,research & development,11,bachelor,medical,low,female,43,3,1,research scientist,2,married,2244.0,24440,1,no,13,3,4,1,2,1,3,2,1,1,2
36,no,travel_rarely,164,sales,2,college,medical,medium,male,61,2,3,sales executive,3,married,7596.0,3809,1,no,13,3,2,2,10,2,3,10,9,7,0
30,yes,travel_frequently,464,research & development,4,bachelor,technical degree,high,male,40,3,1,research scientist,4,single,2285.0,3427,7,yes,23,4,3,0,3,4,3,1,0,0,0
37,no,travel_rarely,1107,research & development,14,bachelor,life sciences,very high,female,95,3,1,laboratory technician,1,divorced,3034.0,26914,1,no,12,3,3,1,18,2,2,18,7,7,9
40,no,travel_rarely,759,sales,2,college,marketing,very high,female,46,3,2,sales executive,2,divorced,5715.0,22553,7,no,12,3,3,2,8,5,3,5,4,1,3
42,no,travel_rarely,201,research & development,1,master,life sciences,medium,female,95,3,1,laboratory technician,1,divorced,2576.0,20490,3,no,16,3,2,1,8,5,3,5,2,1,2
37,no,travel_rarely,1305,research & development,10,master,life sciences,high,male,49,3,2,manufacturing director,2,single,4197.0,21123,2,yes,12,3,4,0,18,2,2,1,0,0,1
43,no,travel_rarely,982,research & development,12,bachelor,life sciences,low,male,59,2,4,research director,2,divorced,14336.0,4345,1,no,11,3,3,1,25,3,3,15,10,3,9
40,no,travel_rarely,555,research & development,2,bachelor,medical,medium,female,78,2,2,laboratory technician,3,married,3448.0,13436,6,no,22,4,2,1,20,3,3,1,0,0,0
54,no,travel_rarely,821,research & development,5,college,medical,low,male,86,3,5,research director,1,married,13775.600000000008,8509,4,no,11,3,3,1,24,4,2,4,2,1,2
34,no,non-travel,1381,sales,4,master,marketing,high,female,72,3,2,sales executive,3,married,6538.0,12740,7,no,15,3,1,1,6,3,3,3,2,1,2
31,no,travel_rarely,480,research & development,7,college,medical,medium,female,31,3,2,manufacturing director,1,married,4306.0,4156,1,no,12,3,2,1,13,5,1,13,10,3,12
43,no,travel_frequently,313,research & development,21,bachelor,medical,very high,male,61,3,1,laboratory technician,4,married,2258.0,15238,7,no,20,4,1,1,8,1,3,3,2,1,2
43,no,travel_rarely,1473,research & development,8,master,other,high,female,74,3,2,healthcare representative,3,divorced,4522.0,2227,4,yes,14,3,4,0,8,3,3,5,2,0,2
25,no,travel_rarely,891,sales,4,college,life sciences,medium,female,99,2,2,sales executive,4,single,4487.0,12090,1,yes,11,3,2,0,5,3,3,5,4,1,3
37,no,non-travel,1063,research & development,25,phd,medical,medium,female,72,3,2,research scientist,3,married,4449.0,23866,3,yes,15,3,1,2,15,2,3,13,11,7,7
31,no,travel_rarely,329,research & development,1,college,life sciences,very high,male,98,2,1,laboratory technician,1,married,2218.0,16193,1,no,12,3,3,1,4,3,3,4,2,3,2
39,no,travel_frequently,1218,research & development,1,below college,life sciences,medium,male,52,3,5,manager,3,divorced,13775.600000000008,8213,1,yes,14,3,3,1,21,3,3,15,8,1,6
56,no,travel_frequently,906,sales,6,bachelor,life sciences,high,female,86,4,4,sales executive,1,married,13212.0,18256,7,no,11,3,4,2,23,2,2,7,7,7,7
30,no,travel_rarely,1082,sales,12,bachelor,technical degree,medium,female,83,3,2,sales executive,3,single,6577.0,19558,0,no,11,3,2,0,6,5,3,5,4,4,4
41,no,travel_rarely,645,sales,1,bachelor,marketing,medium,male,49,4,3,sales executive,1,married,8392.0,19566,1,no,16,3,3,1,10,2,3,10,7,0,7
28,no,travel_rarely,1300,research & development,17,college,medical,high,male,79,3,2,laboratory technician,1,divorced,4558.0,13535,1,no,12,3,4,1,10,2,3,10,0,1,8
25,yes,travel_rarely,688,research & development,3,bachelor,medical,low,male,91,3,1,laboratory technician,1,married,4031.0,9396,5,no,13,3,3,1,6,5,3,2,2,0,2
52,no,travel_rarely,319,research & development,3,bachelor,medical,very high,male,39,2,3,manufacturing director,3,married,7969.0,19609,2,yes,14,3,3,0,28,4,3,5,4,0,4
45,no,travel_rarely,192,research & development,10,college,life sciences,low,male,69,3,1,research scientist,4,married,2654.0,9655,3,no,21,4,4,2,8,3,2,2,2,0,2
52,no,travel_rarely,1490,research & development,4,college,life sciences,very high,female,30,3,4,manager,4,married,16555.0,10310,2,no,13,3,4,0,23,2,1,5,2,1,4
42,no,travel_frequently,532,research & development,29,college,life sciences,low,female,92,3,2,research scientist,3,divorced,4556.0,12932,2,no,11,3,2,1,19,3,3,5,4,0,2
30,no,travel_rarely,317,research & development,2,bachelor,life sciences,high,female,43,1,2,manufacturing director,4,single,6091.0,24793,2,no,20,4,3,0,11,2,3,5,4,0,2
60,no,travel_rarely,422,research & development,7,bachelor,life sciences,low,female,41,3,5,manager,1,married,13775.600000000008,3854,5,no,11,3,4,0,23,5,1,15,8,7,10
46,no,travel_rarely,1485,research & development,18,bachelor,medical,high,female,87,3,2,manufacturing director,3,divorced,4810.0,26314,2,no,14,3,3,1,19,5,2,10,7,0,8
42,no,travel_frequently,1368,research & development,28,master,technical degree,very high,female,88,2,2,healthcare representative,4,married,4523.0,4386,0,no,11,3,4,2,7,4,4,6,5,0,4
24,yes,travel_rarely,1448,sales,1,below college,technical degree,low,female,62,3,1,sales representative,2,single,3202.0,21972,1,yes,16,3,2,0,6,4,3,5,3,1,4
34,yes,travel_frequently,296,sales,6,college,marketing,very high,female,33,1,1,sales representative,3,divorced,2351.0,12253,0,no,16,3,4,1,3,3,2,2,2,1,0
38,no,travel_frequently,1490,research & development,2,college,life sciences,very high,male,42,3,1,laboratory technician,4,married,1702.0,12106,1,yes,23,4,3,1,1,3,3,1,0,0,0
40,no,travel_rarely,1398,sales,2,master,life sciences,high,female,79,3,5,manager,3,married,13775.600000000008,13022,0,no,14,3,4,0,21,2,3,15,9,1,12
26,no,travel_rarely,1349,research & development,23,bachelor,life sciences,low,female,90,3,1,research scientist,4,divorced,2886.0,3032,1,no,22,4,2,2,3,3,1,3,2,0,2
30,no,non-travel,1400,research & development,3,bachelor,life sciences,high,male,53,3,1,laboratory technician,4,married,2097.0,16734,4,no,15,3,3,1,9,3,1,5,3,1,4
29,no,travel_rarely,986,research & development,3,master,medical,medium,male,93,2,3,research director,3,married,11935.0,21526,1,no,18,3,3,0,10,2,3,10,2,0,7
29,yes,travel_rarely,408,research & development,25,phd,technical degree,high,female,71,2,1,research scientist,2,married,2546.0,18300,5,no,16,3,2,0,6,2,4,2,2,1,1
19,yes,travel_rarely,489,human resources,2,college,technical degree,low,male,52,2,1,human resources,4,single,2564.0,18437,1,no,12,3,3,0,1,3,4,1,0,0,0
30,no,non-travel,1398,sales,22,master,other,high,female,69,3,3,sales executive,1,married,8412.0,2890,0,no,11,3,3,0,10,3,3,9,8,7,8
57,no,travel_rarely,210,sales,29,bachelor,marketing,low,male,56,2,4,manager,4,divorced,14118.0,22102,3,no,12,3,3,1,23,3,2,1,0,0,0
50,no,travel_rarely,1099,research & development,29,master,life sciences,medium,male,88,2,4,manager,3,married,13775.600000000008,9314,0,no,15,3,2,1,28,2,3,15,10,7,7
30,no,non-travel,1116,research & development,2,bachelor,medical,high,female,49,3,1,laboratory technician,4,single,2564.0,7181,0,no,14,3,3,0,12,2,2,11,7,6,7
60,no,travel_frequently,1499,sales,28,bachelor,marketing,high,female,80,2,3,sales executive,1,married,10266.0,2845,4,no,19,3,4,0,22,5,4,18,13,7,11
47,no,travel_rarely,983,research & development,2,college,medical,low,female,65,3,2,manufacturing director,4,divorced,5070.0,7389,5,no,13,3,3,2,20,2,3,5,0,0,4
46,no,travel_rarely,1009,research & development,2,bachelor,life sciences,low,male,51,3,4,research director,3,married,13775.600000000008,2288,6,no,13,3,3,0,26,2,1,3,2,0,1
35,no,travel_rarely,144,research & development,22,bachelor,life sciences,very high,male,46,1,1,laboratory technician,3,single,4230.0,19225,0,no,15,3,3,0,6,2,3,5,4,4,3
54,no,travel_rarely,548,research & development,8,master,life sciences,high,female,42,3,2,laboratory technician,3,single,3780.0,23428,7,no,11,3,3,0,19,3,3,1,0,0,0
34,no,travel_rarely,1303,research & development,2,master,life sciences,very high,male,62,2,1,research scientist,3,divorced,2768.0,8416,3,no,12,3,3,1,14,3,3,7,3,5,7
46,no,travel_rarely,1125,sales,10,bachelor,marketing,high,female,94,2,3,sales executive,4,married,9071.0,11563,2,yes,19,3,3,1,15,3,3,3,2,1,2
31,no,travel_rarely,1274,research & development,9,below college,life sciences,high,male,33,3,3,manufacturing director,2,divorced,10648.0,14394,1,no,25,4,4,1,13,5,4,13,8,0,8
33,yes,travel_rarely,1277,research & development,15,below college,medical,medium,male,56,3,3,manager,3,married,13610.0,24619,7,yes,12,3,4,0,15,2,4,7,6,7,7
33,yes,travel_rarely,587,research & development,10,below college,medical,low,male,38,1,1,laboratory technician,4,divorced,3408.0,6705,7,no,13,3,1,2,8,2,3,4,3,1,3
30,no,travel_rarely,413,sales,7,below college,marketing,very high,male,57,3,1,sales representative,2,single,2983.0,18398,0,no,14,3,1,0,4,3,3,3,2,1,2
35,no,travel_rarely,1276,research & development,16,bachelor,life sciences,very high,male,72,3,3,healthcare representative,3,married,7632.0,14295,4,yes,12,3,3,0,10,2,3,8,7,0,0
31,yes,travel_frequently,534,research & development,20,bachelor,life sciences,low,male,66,3,3,healthcare representative,3,married,9824.0,22908,3,no,12,3,1,0,12,2,3,1,0,0,0
34,yes,travel_frequently,988,human resources,23,bachelor,human resources,medium,female,43,3,3,human resources,1,divorced,9950.0,11533,7,yes,15,3,3,2,11,2,3,3,2,0,2
42,no,travel_frequently,1474,research & development,5,college,other,medium,male,97,3,1,laboratory technician,3,married,2093.0,9260,4,no,17,3,4,1,8,4,3,2,2,2,0
36,no,non-travel,635,sales,10,master,medical,medium,male,32,3,3,sales executive,4,single,9980.0,15318,1,no,14,3,4,0,10,3,2,10,3,7,7
22,yes,travel_frequently,1368,research & development,4,below college,technical degree,high,male,99,2,1,laboratory technician,3,single,3894.0,9129,5,no,16,3,3,0,4,3,3,2,2,1,2
48,no,travel_rarely,163,sales,2,phd,marketing,medium,female,37,3,2,sales executive,4,married,4051.0,19658,2,no,14,3,1,1,14,2,3,9,7,6,7
55,no,travel_rarely,1117,sales,18,phd,life sciences,low,female,83,3,4,manager,2,single,13775.600000000008,9873,3,no,23,4,4,0,23,2,3,10,9,7,7
41,no,non-travel,267,sales,10,college,life sciences,very high,male,56,3,2,sales executive,4,single,6230.0,13430,7,no,14,3,4,0,16,3,3,14,3,1,10
35,no,travel_rarely,619,sales,1,bachelor,marketing,medium,male,85,3,2,sales executive,3,married,4717.0,18659,7,no,11,3,3,0,15,2,3,11,9,6,9
40,no,travel_rarely,302,research & development,6,bachelor,life sciences,medium,female,75,3,4,manufacturing director,3,single,13237.0,20364,7,no,15,3,3,0,22,3,3,15,6,5,13
39,no,travel_frequently,443,research & development,8,below college,life sciences,high,female,48,3,1,laboratory technician,3,married,3755.0,17872,1,no,11,3,1,1,8,3,3,8,3,0,7
31,no,travel_rarely,828,sales,2,below college,life sciences,medium,male,77,3,2,sales executive,4,single,6582.0,8346,4,yes,13,3,3,0,10,2,4,6,5,0,5
42,no,travel_rarely,319,research & development,24,bachelor,medical,very high,male,56,3,3,manufacturing director,1,married,7406.0,6950,1,yes,21,4,4,1,10,5,2,10,9,5,8
45,no,travel_rarely,561,sales,2,bachelor,other,very high,male,61,3,2,sales executive,2,married,4805.0,16177,0,no,19,3,2,1,9,3,4,8,7,3,7
26,yes,travel_frequently,426,human resources,17,master,life sciences,medium,female,58,3,1,human resources,3,divorced,2741.0,22808,0,yes,11,3,2,1,8,2,2,7,7,1,0
29,no,travel_rarely,232,research & development,19,bachelor,technical degree,very high,male,34,3,2,manufacturing director,4,divorced,4262.0,22645,4,no,12,3,2,2,8,2,4,3,2,1,2
33,no,travel_rarely,922,research & development,1,phd,medical,low,female,95,4,4,research director,3,divorced,16184.0,22578,4,no,19,3,3,1,10,2,3,6,1,0,5
31,no,travel_rarely,688,sales,7,bachelor,life sciences,high,male,44,2,3,manager,4,divorced,11557.0,25291,7,no,21,4,3,1,10,3,2,5,4,0,1
18,yes,travel_frequently,1306,sales,5,bachelor,marketing,medium,male,69,3,1,sales representative,2,single,1878.0,8059,1,yes,14,3,4,0,0,3,3,0,0,0,0
40,no,non-travel,1094,sales,28,bachelor,other,high,male,58,1,3,sales executive,1,divorced,10932.0,11373,3,no,15,3,3,1,20,2,3,1,0,0,1
41,no,non-travel,509,research & development,2,master,other,low,female,62,2,2,healthcare representative,3,single,6811.0,2112,2,yes,17,3,1,0,10,3,3,8,7,0,7
26,no,travel_rarely,775,sales,29,college,medical,low,male,45,3,2,sales executive,3,divorced,4306.0,4267,5,no,12,3,1,2,8,5,3,0,0,0,0
35,no,travel_rarely,195,sales,1,bachelor,medical,low,female,80,3,2,sales executive,3,single,4859.0,6698,1,no,16,3,4,0,5,3,3,5,4,0,3
34,no,travel_rarely,258,sales,21,master,life sciences,very high,male,74,4,2,sales executive,4,single,5337.0,19921,1,no,12,3,4,0,10,3,3,10,7,5,7
26,yes,travel_rarely,471,research & development,24,bachelor,technical degree,high,male,66,1,1,laboratory technician,4,single,2340.0,23213,1,yes,18,3,2,0,1,3,1,1,0,0,0
37,no,travel_rarely,799,research & development,1,bachelor,technical degree,medium,female,59,3,3,manufacturing director,4,single,7491.0,23848,4,no,17,3,4,0,12,3,4,6,5,1,2
46,no,travel_frequently,1034,research & development,18,below college,medical,low,female,86,3,3,healthcare representative,3,married,10527.0,8984,5,no,11,3,4,0,28,3,2,2,2,1,2
41,no,travel_rarely,1276,sales,2,phd,life sciences,medium,female,91,3,4,manager,1,married,13775.600000000008,5626,7,no,16,3,2,1,22,2,3,18,9,7,8
37,no,non-travel,142,sales,9,master,medical,low,male,69,3,3,sales executive,2,divorced,8834.0,24666,1,no,13,3,4,1,9,5,3,9,5,7,7
52,no,travel_rarely,956,research & development,6,college,technical degree,very high,male,78,3,2,research scientist,1,divorced,5577.0,22087,3,yes,12,3,2,2,18,3,3,10,9,6,9
32,yes,non-travel,1474,sales,11,master,other,very high,male,60,4,2,sales executive,3,married,4707.0,23914,8,no,12,3,4,0,6,2,3,4,2,1,2
24,no,travel_frequently,535,sales,24,bachelor,medical,very high,male,38,3,1,sales representative,4,married,2400.0,5530,0,no,13,3,3,2,3,3,3,2,2,2,1
38,no,travel_rarely,1495,research & development,10,bachelor,medical,high,female,76,3,2,healthcare representative,3,married,9824.0,22174,3,no,19,3,3,1,18,4,3,1,0,0,0
37,no,travel_rarely,446,research & development,1,master,life sciences,medium,female,65,3,2,manufacturing director,2,married,6447.0,15701,6,no,12,3,2,1,8,2,2,6,5,4,3
49,no,travel_rarely,1245,research & development,18,master,life sciences,very high,male,58,2,5,research director,3,divorced,13775.600000000008,2125,1,yes,17,3,3,1,23,5,3,15,9,0,9
24,no,travel_rarely,691,research & development,23,bachelor,medical,medium,male,89,4,1,research scientist,4,married,2725.0,21630,1,yes,11,3,2,2,6,3,3,6,5,1,4
26,no,travel_rarely,703,sales,28,college,marketing,low,male,66,3,2,sales executive,2,married,6272.0,7428,1,no,20,4,4,2,6,5,4,5,3,1,4
24,no,travel_rarely,823,research & development,17,college,other,very high,male,94,2,1,laboratory technician,2,married,2127.0,9100,1,no,21,4,4,1,1,2,3,1,0,0,0
50,no,travel_frequently,1246,human resources,3,bachelor,medical,low,male,99,3,5,manager,2,married,13775.600000000008,7999,1,no,11,3,3,1,23,2,3,15,5,7,7
25,no,travel_rarely,622,sales,13,below college,medical,medium,male,40,3,1,sales representative,3,married,2096.0,26376,1,no,11,3,3,0,7,1,3,7,4,0,6
24,yes,travel_frequently,1287,research & development,7,bachelor,life sciences,low,female,55,3,1,laboratory technician,3,married,2886.0,14168,1,yes,16,3,4,1,6,4,3,6,3,1,2
30,yes,travel_frequently,448,sales,12,master,life sciences,medium,male,74,2,1,sales representative,1,married,2033.0,14470,1,no,18,3,3,1,1,2,4,1,0,0,0
34,no,travel_rarely,254,research & development,1,college,life sciences,medium,male,83,2,1,research scientist,4,married,3622.0,22794,1,yes,13,3,4,1,6,3,3,6,5,1,3
31,yes,travel_rarely,1365,sales,13,master,medical,medium,male,46,3,2,sales executive,1,divorced,4233.0,11512,2,no,17,3,3,0,9,2,1,3,1,1,2
35,no,travel_rarely,538,research & development,25,college,other,low,male,54,2,2,laboratory technician,4,single,3681.0,14004,4,no,14,3,4,0,9,3,3,3,2,0,2
31,no,travel_rarely,525,sales,6,master,medical,low,male,66,4,2,sales executive,4,divorced,5460.0,6219,4,no,22,4,4,2,13,4,4,7,7,5,7
27,no,travel_rarely,798,research & development,6,master,medical,low,female,66,2,1,research scientist,3,divorced,2187.0,5013,0,no,12,3,3,2,6,5,2,5,3,0,3
37,no,travel_rarely,558,sales,2,bachelor,marketing,very high,male,75,3,2,sales executive,3,married,9602.0,3010,4,yes,11,3,3,1,17,3,2,3,0,1,0
20,no,travel_rarely,959,research & development,1,bachelor,life sciences,very high,female,83,2,1,research scientist,2,single,2836.0,11757,1,no,13,3,4,0,1,2,4,1,0,0,0
42,no,travel_rarely,622,research & development,2,master,life sciences,high,female,81,3,2,healthcare representative,4,married,4089.0,5718,1,no,13,3,2,2,10,4,3,10,2,2,2
43,no,travel_rarely,782,research & development,6,master,other,medium,male,50,2,4,research director,4,divorced,13775.600000000008,2671,4,yes,14,3,3,1,21,3,2,1,0,0,0
38,no,travel_rarely,362,research & development,1,below college,life sciences,high,female,43,3,1,research scientist,1,single,2619.0,14561,3,no,17,3,4,0,8,3,2,0,0,0,0
43,no,travel_frequently,1001,research & development,9,phd,medical,very high,male,72,3,2,laboratory technician,3,divorced,5679.0,19627,3,yes,13,3,2,1,10,3,3,8,7,4,7
48,no,travel_rarely,1236,research & development,1,master,life sciences,very high,female,40,2,4,manager,1,married,15402.0,17997,7,no,11,3,1,1,21,3,1,3,2,0,2
44,no,travel_rarely,1112,human resources,1,master,life sciences,low,female,50,2,2,human resources,3,single,5985.0,26894,4,no,11,3,2,0,10,1,4,2,2,0,2
34,no,travel_rarely,204,sales,14,bachelor,technical degree,high,female,31,3,1,sales representative,3,divorced,2579.0,2912,1,yes,18,3,4,2,8,3,3,8,2,0,6
27,yes,travel_rarely,1420,sales,2,below college,marketing,high,male,85,3,1,sales representative,1,divorced,3041.0,16346,0,no,11,3,2,1,5,3,3,4,3,0,2
21,no,travel_rarely,1343,sales,22,below college,technical degree,high,male,49,3,1,sales representative,3,single,3447.0,24444,1,no,11,3,3,0,3,2,3,3,2,1,2
44,no,travel_rarely,1315,research & development,3,master,other,very high,male,35,3,5,manager,4,married,13775.600000000008,9358,4,yes,12,3,1,1,26,2,4,2,2,0,1
22,no,travel_rarely,604,research & development,6,below college,medical,low,male,69,3,1,research scientist,3,married,2773.0,12145,0,no,20,4,4,0,3,3,3,2,2,2,2
33,no,travel_rarely,1216,sales,8,master,marketing,high,male,39,3,2,sales executive,3,divorced,7104.0,20431,0,no,12,3,4,0,6,3,3,5,0,1,2
32,no,travel_rarely,646,research & development,9,master,life sciences,low,female,92,3,2,research scientist,4,married,6322.0,18089,1,yes,12,3,4,1,6,2,2,6,4,0,5
30,no,travel_frequently,160,research & development,3,bachelor,medical,high,female,71,3,1,research scientist,3,divorced,2083.0,22653,1,no,20,4,3,1,1,2,3,1,0,0,0
53,no,travel_rarely,238,sales,1,below college,medical,very high,female,34,3,2,sales executive,1,single,8381.0,7507,7,no,20,4,4,0,18,2,4,14,7,7,10
34,no,travel_rarely,1397,research & development,1,phd,life sciences,medium,male,42,3,1,research scientist,4,married,2691.0,7660,1,no,12,3,4,1,10,4,2,10,9,7,8
45,yes,travel_frequently,306,sales,26,master,life sciences,low,female,100,3,2,sales executive,1,married,4286.0,5630,2,no,14,3,4,2,5,4,3,1,1,0,0
26,no,travel_rarely,991,research & development,6,bachelor,life sciences,high,female,71,3,1,laboratory technician,4,married,2659.0,17759,1,yes,13,3,3,1,3,2,3,3,2,0,2
37,no,travel_rarely,482,research & development,3,bachelor,other,high,male,36,3,3,manufacturing director,3,married,9434.0,9606,1,no,15,3,3,1,10,2,3,10,7,7,8
29,no,travel_rarely,1176,sales,3,college,medical,medium,female,62,3,2,sales executive,3,married,5561.0,3487,1,no,14,3,1,1,6,5,2,6,0,1,2
35,no,travel_rarely,1017,research & development,6,master,life sciences,medium,male,82,1,2,research scientist,4,single,6646.0,19368,1,no,13,3,2,0,17,3,3,17,11,7,8
